Iris-virginica,"{'prior': '0.34', 'mean': [6.59, 2.96, 5.56, 2.01], 'cov': array([[0.52, 0.11, 0.39, 0.07],
       [0.11, 0.11, 0.07, 0.04],
       [0.39, 0.07, 0.38, 0.06],
       [0.07, 0.04, 0.06, 0.06]])}"
Iris-versicolor,"{'prior': '0.32', 'mean': [5.96, 2.76, 4.26, 1.33], 'cov': array([[0.26, 0.09, 0.16, 0.05],
       [0.09, 0.1 , 0.08, 0.04],
       [0.16, 0.08, 0.2 , 0.07],
       [0.05, 0.04, 0.07, 0.04]])}"
Iris-setosa,"{'prior': '0.34', 'mean': [5.01, 3.44, 1.5, 0.26], 'cov': array([[0.13, 0.11, 0.02, 0.02],
       [0.11, 0.15, 0.02, 0.02],
       [0.02, 0.02, 0.03, 0.01],
       [0.02, 0.02, 0.01, 0.01]])}"
