Iris-virginica,"{'prior': '0.34', 'mean': [6.64, 2.98, 5.55, 2.06], 'var': [0.34, 0.1, 0.28, 0.07]}"
Iris-setosa,"{'prior': '0.34', 'mean': [5.0, 3.38, 1.44, 0.25], 'var': [0.09, 0.11, 0.03, 0.01]}"
Iris-versicolor,"{'prior': '0.32', 'mean': [5.94, 2.79, 4.22, 1.32], 'var': [0.25, 0.08, 0.2, 0.03]}"
