Iris-virginica,"{'prior': '0.34', 'mean': [6.64, 2.98, 5.55, 2.06], 'cov': array([[0.35, 0.09, 0.26, 0.03],
       [0.09, 0.11, 0.07, 0.04],
       [0.26, 0.07, 0.29, 0.04],
       [0.03, 0.04, 0.04, 0.07]])}"
Iris-setosa,"{'prior': '0.34', 'mean': [5.0, 3.38, 1.44, 0.25], 'cov': array([[0.09, 0.07, 0.  , 0.  ],
       [0.07, 0.11, 0.  , 0.01],
       [0.  , 0.  , 0.03, 0.  ],
       [0.  , 0.01, 0.  , 0.01]])}"
Iris-versicolor,"{'prior': '0.32', 'mean': [5.94, 2.79, 4.22, 1.32], 'cov': array([[0.26, 0.07, 0.16, 0.04],
       [0.07, 0.09, 0.08, 0.04],
       [0.16, 0.08, 0.2 , 0.06],
       [0.04, 0.04, 0.06, 0.03]])}"
