Iris-virginica,"{'prior': '0.34', 'mean': [6.59, 2.96, 5.56, 2.01], 'var': [0.5, 0.1, 0.37, 0.06]}"
Iris-setosa,"{'prior': '0.34', 'mean': [5.01, 3.44, 1.5, 0.26], 'var': [0.13, 0.14, 0.03, 0.01]}"
Iris-versicolor,"{'prior': '0.32', 'mean': [5.96, 2.76, 4.26, 1.33], 'var': [0.25, 0.1, 0.19, 0.04]}"
